Filename,LOC,ForLoops,WhileLoops,IfStatements,O0ExecTime,O1ExecTime,O2ExecTime,O3ExecTime,OfastExecTime,BestFlag
program_1.c,17,1,0,2,0.0490012168884277,0.0545980930328369,0.0297966003417968,0.0510017871856689,0.0601067543029785,-O2
program_2.c,43,1,1,7,0.0620009899139404,0.0646047592163086,0.0222806930541992,0.0480275154113769,0.2241172790527343,-O2
program_3.c,27,1,1,3,0.0189995765686035,0.0240809917449951,0.0249993801116943,0.029998779296875,0.026604413986206,-O0
program_4.c,95,4,3,15,0.0309987068176269,0.0330786705017089,0.0319981575012207,0.0199999809265136,0.0399990081787109,-O3
program_5.c,31,1,1,4,0.0380012989044189,0.0250005722045898,0.0180006027221679,0.0230064392089843,0.0260000228881835,-O2
program_6.c,41,1,0,7,0.023000955581665,0.0270795822143554,0.0220012664794921,0.027512788772583,0.0290048122406005,-O2
program_7.c,17,1,0,2,0.0189998149871826,0.0230004787445068,0.027001142501831,0.0265140533447265,0.0340006351470947,-O0
program_8.c,81,1,3,12,0.0249998569488525,0.0321979522705078,0.0250003337860107,0.0200073719024658,0.0320062637329101,-O3
program_9.c,55,2,2,9,0.0190091133117675,0.0329999923706054,0.0325124263763427,0.0310070514678955,0.0270004272460937,-O0
program_10.c,23,2,1,2,0.0609998703002929,0.0317969322204589,0.0360009670257568,0.0435192584991455,0.0590081214904785,-O1
program_11.c,45,5,2,5,0.0365114212036132,0.0270054340362548,0.0279998779296875,0.0190000534057617,0.0275201797485351,-O3
program_12.c,81,2,4,13,0.0190002918243408,0.0554962158203125,0.0490002632141113,0.0353298187255859,0.1215207576751709,-O0
program_13.c,19,0,1,2,0.0285217761993408,0.0199999809265136,0.0275135040283203,0.0285189151763916,0.0325117111206054,-O1
program_14.c,73,2,5,8,0.0235159397125244,0.0310070514678955,0.0230002403259277,0.0215146541595459,0.0455131530761718,-O3
program_15.c,19,0,1,2,0.028005838394165,0.0262913703918457,0.0199999809265136,0.0265114307403564,0.0220077037811279,-O2
program_16.c,55,1,1,10,0.0200028419494628,0.0240006446838378,0.0265207290649414,0.0240001678466796,0.143031358718872,-O0
program_17.c,93,3,4,15,0.0229997634887695,0.0255115032196044,0.0260062217712402,0.0455186367034912,0.0718309879302978,-O0
